Wall time,Step,Value
1735308197.6435852,0,0.0068327272310853004
1735308351.7643037,1,0.006453871261328459
1735308505.5668297,2,0.006525942590087652
1735308659.0805514,3,0.006890296936035156
1735308811.9902518,4,0.006999744568020105
1735308965.8594925,5,0.008418726734817028
1735309119.2741592,6,0.0078035444021224976
1735309273.7998993,7,0.007566126994788647
1735309427.6753905,8,0.00797849241644144
1735309581.278404,9,0.008572184480726719
1735309736.2565675,10,0.008633751422166824
1735309889.6896827,11,0.009183450601994991
1735310045.4670527,12,0.008972486481070518
1735310199.466065,13,0.009626738727092743
1735310353.246706,14,0.009250510483980179
1735310506.0910807,15,0.013192405924201012
1735310656.901649,16,0.009998033754527569
1735310811.34075,17,0.00860192347317934
1735310964.6280074,18,0.009637406095862389
1735311119.1117833,19,0.010386988520622253
1735311273.7436135,20,0.012205393053591251
1735311427.3606923,21,0.011945129372179508
1735311580.2448957,22,0.010975159704685211
1735311733.4974625,23,0.013117323629558086
1735311887.1528566,24,0.013469278812408447
1735312040.9895031,25,0.015201340429484844
1735312196.2628407,26,0.012155885808169842
1735312350.151398,27,0.012473764829337597
1735312504.0553532,28,0.014280745759606361
1735312659.5894752,29,0.008922595530748367
1735312814.3392167,30,0.010548640973865986
1735312967.6569984,31,0.009214511141180992
1735313122.823659,32,0.012548938393592834
1735313277.3032882,33,0.011374985799193382
1735313432.3151503,34,0.012908551841974258
1735313586.82672,35,0.01157548651099205
1735313740.270616,36,0.01407842617481947
1735313894.830985,37,0.011930727399885654
1735314049.3026025,38,0.01700318045914173
1735314202.8928163,39,0.018817443400621414
1735314356.3996255,40,0.0163315050303936
1735314510.904362,41,0.015157611109316349
1735314665.8604705,42,0.01739848405122757
1735314820.268783,43,0.01491767168045044
1735314972.9451432,44,0.022113438695669174
1735315128.643799,45,0.019389035180211067
1735315283.1620195,46,0.0184829942882061
1735315439.3265734,47,0.025202268734574318
1735315593.9185588,48,0.020146461203694344
1735315748.4267673,49,0.019550098106265068
1735315904.6661572,50,0.02227848581969738
1735316060.8198993,51,0.024741156026721
1735316218.0329518,52,0.022431466728448868
1735316371.193739,53,0.01989605650305748
1735316526.1143537,54,0.020207565277814865
1735316681.2715151,55,0.02073662169277668
1735316836.8133054,56,0.026112457737326622
1735316993.6533864,57,0.02501855418086052
1735317146.5062199,58,0.024323169142007828
1735317302.5346444,59,0.02543843351304531
1735317456.8612585,60,0.0259085800498724
1735317611.5852125,61,0.03241954743862152
1735317767.255825,62,0.04318555071949959
1735317923.0061815,63,0.03550567477941513
1735318076.986711,64,0.029542621225118637
1735318231.7074127,65,0.04417658597230911
1735318386.537284,66,0.03992757201194763
1735318540.9748755,67,0.038276202976703644
1735318695.6636372,68,0.051663607358932495
1735318847.0982902,69,0.045217908918857574
1735319001.1984158,70,0.058896325528621674
1735319154.8704743,71,0.0508464090526104
1735319309.8114312,72,0.06489896029233932
1735319463.2866957,73,0.07803458720445633
1735319617.226365,74,0.06812451779842377
1735319772.3631632,75,0.06860937923192978
1735319927.6569695,76,0.07011747360229492
1735320079.969866,77,0.08406606316566467
1735320233.1029758,78,0.07112017273902893
1735320386.8584025,79,0.05616312846541405
1735320540.5038903,80,0.07298220694065094
1735320694.871599,81,0.10333077609539032
1735320848.606912,82,0.08573959767818451
1735321002.0270061,83,0.0829717218875885
1735321156.1395023,84,0.07945182919502258
1735321310.0635242,85,0.08257237076759338
1735321463.0192883,86,0.09160598367452621
